titre,type_bien,type_annonce,prix,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,ville,description,caracteristiques,seller,date_publication,url_annonce,source
للإجااااااار منزل كبير طراز عالمي,Immobilier résidentiel,Location,120000.0,500.0,6.0,3.0,4.0,الصحراوي,Tevragh Zeina,"للإجااااااار منزل كبير طراز عالمي درجه أولا فصحراوي
المكان الأحسن في العاصمة من حيث الأمن والرفاهية المكان متوفر على ماتحتاجونه من مكونات الحيات ومفروش أخر صيحات المفروشات يصلح للأجانب",Caméra de sécurité,وكالة النجاح,2026-03-02,https://voursa.com/FR/categories/real_estate/ads/للاجااااااار-منزل-كبير-طراز-عالمي--2d23,voursa
نيمرو للبيع,Terrain,Vente,4200000.0,1.0,,,,سكتير 5,Teyarett,"هذا رقم  1041 من سكتير 5  
السعر 42 مليون
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-28,https://voursa.com/FR/categories/real_estate/ads/نيمرو-للبيع-045d,voursa
للإجار ابرتماه نظيف حذ دار بدر,Immobilier résidentiel,Location,10000.0,2.0,4.0,1.0,2.0,دار بدر,Tevragh Zeina,للإجار ابرتماه نظيف حذ دار بدر فصحراوي يتكون من صلوه وبيت ركاد وبيت جماعه وجلسه ومرافق السعر 100000الف قديمه مقدم ثلاث اشهر واحد منهم ضمان ملاحظة اراهو فطابق الثاني ؟تقبل الله صيامنا وصيامكم,,وكالة النجاح,2026-03-02,https://voursa.com/FR/categories/real_estate/ads/للاجار-ابرتماه-نظيف-حذ-دار-بدر-670b,voursa
منزل للبيع,Immobilier résidentiel,Vente,20000000.0,700.0,0.0,0.0,0.0,كارفور جامبور,Tevragh Zeina,"منزل فخم و كبير
المساحه 700 م²
تفرغ زينه بين كارفور جامبور و قناة المدينة 
الأوراق تيتر فونسي 
السعر 200 مليون
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-23,https://voursa.com/FR/categories/real_estate/ads/منزل-للبيع--be36,voursa
ديبلكسين جدد محاصرين  سكتار 5 موقع ممتاز,Immobilier résidentiel,Vente,11000000.0,200.0,10.0,3.0,6.0,سكتار5,Tevragh Zeina,ديبلكسين جدد محاصرين ب110مليون سكتار 5 موقع ممتاز,Garage,Ahmed,2026-03-02,https://voursa.com/FR/categories/real_estate/ads/ديبلكسين-جدد-محاصرين-ب110مليون-سكتار-5-موقع-ممتاز--f54c,voursa
نصف نيمرو من بلوك 34 فاتح اعل كدروه,Terrain,Vente,1700000.0,200.0,,,,حيط الصين,Dar Naim,المساحة 200م٢ عندها تيتر فونصي الأصلية فاتح اعل كدروه,,سيدي محمد,2026-03-02,https://voursa.com/FR/categories/real_estate/ads/نصف-نيمرو-من-بلوك-34-فاتح-اعل-كدروه--d382,voursa
فرصة شقة لاجار قرب طريق نواذيب كبير مستقل,Immobilier résidentiel,Location,18000.0,250.0,3.0,1.0,2.0,طريق نواذيب,Tevragh Zeina,فرصة شقة لأجار مستقل بحوشها قرب طريق نواذيبو موقع ممتاز,Garage,mohamed,2026-03-02,https://voursa.com/FR/categories/real_estate/ads/فرصة-شقة-لاجار-قرب-طريق-نواذيب-كبير-مستقل--a0bb,voursa
سمعه فلكصر للبيع,Immobilier résidentiel,Vente,2800000.0,1.0,0.0,0.0,0.0,بقالة ترارزة,Ksar,"سمعة ف لكصر  من كد بقالة ترارزة
■■  الطابق الارضي فيه صالوه كبير + جلسة + بيت متوسط + كراج و كوزين و دوش 
■■  الطابق ثاني
 3 بيوت + 2 دوشين + كوزين + جلسة فاتحه في مبدية 8  كريبه من كدروه مبيوعه ب [ 28 ] ,,مليون
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-28,https://voursa.com/FR/categories/real_estate/ads/سمعه-فلكصر-للبيع--7488,voursa
فرصة مخزن لأجار فسانتر متير قرب موري سانتر 2 وتساب,Boutique,Location,35000.0,350.0,,,,مطعم لأندرو,Tevragh Zeina,فرصة مخزن لأجار قرب موري سانتر 2 المساحة  350 موقع ممتاز.  وتساب,,mohamed,2026-03-02,https://voursa.com/FR/categories/real_estate/ads/فرصة-مخزن-لاجار-فسانتر-متير-قرب-موري-سانتر-2-وتساب--8f55,voursa
نمرو اللبيع أفي المطار القديم بلوك 31فاتح اعل كدروه افكرن,Terrain,Vente,19000000.0,283.0,,,,نمرو اللبيع أفي المطار القديم بلوك 31,Dar Naim,"السلام عليكم 
 مبيوع ب 19 مليون  حد مهتم يتواصل معاي إلا حد عندو العقار اللبيع يتواصل معاي [TÉLÉPHONE SUPPRIMÉ]
المساحة 283م وفكرن فاتح اعل كدروه",,عبدالله,2026-03-02,https://voursa.com/FR/categories/real_estate/ads/نمرو-اللبيع-افي-المطار-القديم-بلوك-31فاتح-اعل-كدروه-افكرن--48c1,voursa
نيمرو من سكتير 1 كناب الضبط للببع,Terrain,Vente,3500000.0,700.0,,,,سكتير 1 كتاب الضبط,Tevragh Zeina,السلام عليكم هذ نيمرو من كتاب الضبط سكتير 1 مساحة 700م# مبيوع ب 35مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-28,https://voursa.com/FR/categories/real_estate/ads/نيمرو-من-سكتير-1-كناب-الضبط-للببع--1459,voursa
ابرتماهات بالقرب من كرفور مدريد بينهم امع كدروه للامل نيمرو واحد للبيع,Autre,Vente,2600000.0,150.0,,,,كرفور مدريد,Arafat,"سلام عليكم هذ ابرتماهات بالقرب من  كرفور مدريد فاتحين اعلي شارع 8 
بينهم مع كدروه الأمل نيمرو واحد 
امدخلين الشهر 200 ألف 
السعر 26 مليون قابل للتفاوض للإستفسار اكثر اتصلوا على الرقم التالى [TÉLÉPHONE SUPPRIMÉ]",,محمد,2026-02-28,https://voursa.com/FR/categories/real_estate/ads/ابرتماهات-بالقرب-من-كرفور-مدريد-بينهم-امع-كدروه-للامل-نيمرو-واحد-للبيع--4ed9,voursa
نيمرو  فكرن مبني نص فيه ديبلكس ف اغنودرت للبيع,Terrain,Vente,3300000.0,300.0,,,,اغنودرت,Tevragh Zeina,السلام عليكم هذ نيمرو فكرن من اغنودرت مساحة 300م# مبني منو 150م# فكرن فيها اكراج الكدام وتحويش الدار من تحت فيه صلوه وكوزين ومن فوك فيها بيت اركاد وبيت اوخر مكروي كامله حتت اصطاح فرصة مبيوع ب 33مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-03-01,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فكرن-مبني-نص-فيه-ديبلكس-ف-اغنودرت-للبيع--4c0e,voursa
نيمرو من اغنودرت للبيع,Terrain,Vente,1100000.0,300.0,,,,اغنودرت,Tevragh Zeina,السلام عليكم هذ نيمرو من اغنودرت مساحة 300م# مبيوع ب 11مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-03-01,https://voursa.com/FR/categories/real_estate/ads/نيمرو-من-اغنودرت-للبيع--4577,voursa
نيمرو فكرن من سكتير 6 للبيع,Terrain,Vente,6500000.0,750.0,,,,سكتير 6,Tevragh Zeina,السلام علبكم هذ نيمرو فكرن من سكتير 6 مساحة 750'م# مبيوع ب 65مليون للإستفسار اكثر اتصلوا على الرقم التالى [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-03-01,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فكرن-من-سكتير-6-للبيع--a7de,voursa
سمعه فعين الطلح,Immobilier résidentiel,Vente,3300000.0,180.0,7.0,2.0,3.0,ابارك سوكوجيم,Teyarett,سمعه فعين الطلح اكريب من ابارك سوكوجبم امدخله 240الف,Garage,محمد عبد الله ولد سيكه,2026-03-01,https://voursa.com/FR/categories/real_estate/ads/سمعه-فعين-الطلح--9b5b,voursa
